id_student,negative_sentiment_ratio,negative_post_count
3733,0.3333333333333333,1
6516,1.0,1
8462,0.4444444444444444,4
11391,0.0,0
23629,0.0,0
23632,0.5,1
23698,0.75,3
23798,1.0,1
24186,0.6666666666666666,2
24213,0.6,3
24391,0.0,0
24734,0.6,3
25107,0.4,2
25150,1.0,1
25261,0.0,0
25572,0.5,2
25629,0.4,2
25997,0.0,0
26023,1.0,2
26192,1.0,4
26211,0.2,1
26247,0.4,2
26269,0.5,1
26315,0.5,1
26677,0.4,2
26734,1.0,1
26915,0.8,4
27116,0.3333333333333333,1
27189,1.0,1
27417,0.5,2
27457,0.0,0
27683,0.5,1
27759,1.0,1
27780,0.2,1
27891,0.5,3
27935,0.0,0
28046,1.0,2
28061,1.0,1
28149,0.5,1
28400,1.0,2
28418,0.25,1
28770,0.25,1
28787,0.0,0
28808,0.0,0
28897,0.4,2
28952,0.6666666666666666,2
29144,0.5,1
29335,1.0,1
29411,0.75,3
29420,0.0,0
29639,0.2857142857142857,2
29764,1.0,1
29769,0.5,1
29820,0.4444444444444444,4
29985,0.0,0
30091,1.0,1
30096,0.5,2
30268,1.0,1
30531,0.0,0
30549,0.4,2
30850,0.25,1
31014,1.0,1
31107,1.0,2
31161,0.6666666666666666,2
31173,1.0,2
31205,0.0,0
31269,0.5,3
31296,0.5,2
31600,0.0,0
31604,0.6,3
31663,0.0,0
31849,0.0,0
32221,0.75,3
32239,0.0,0
32327,0.0,0
32553,0.2,1
32885,0.3333333333333333,1
32930,0.0,0
33387,0.6,3
33600,0.3333333333333333,2
33666,1.0,1
33681,0.3333333333333333,2
33796,0.5,1
33897,0.5,2
33915,0.8,4
33930,0.25,1
34068,0.0,0
34087,0.6,3
34229,0.0,0
34293,0.0,0
34353,0.25,1
34431,0.375,3
34653,0.0,0
34662,0.5,1
34694,0.4,2
34731,0.0,0
34756,1.0,1
34863,0.25,1
35001,0.0,0
35340,0.5,2
35355,0.625,5
35502,0.8,4
35508,0.4444444444444444,4
35544,0.8,4
35747,0.3333333333333333,1
35796,0.4,2
35812,1.0,1
35859,0.0,0
35860,0.5,1
36347,0.2,1
36385,0.25,1
36842,0.4,2
37298,0.6666666666666666,2
37622,1.0,1
37652,1.0,1
38053,0.2,1
38187,0.8,4
38234,1.0,1
38711,0.75,3
38941,0.0,0
39208,0.7142857142857143,5
39411,1.0,1
39427,1.0,1
39655,0.0,0
39660,0.0,0
39882,0.2,1
40184,0.4,2
40333,0.25,1
40419,0.4,4
40508,0.5,1
40563,1.0,1
40604,0.6,3
40857,0.6,3
40878,0.25,1
41060,0.5,2
41414,0.25,1
41489,0.0,0
41547,0.0,0
42552,0.0,0
42616,0.3333333333333333,1
42638,0.5,3
42668,0.0,0
42746,0.6,3
42818,0.2,1
